locality_name,bhks,per_sq_ft_area,price_per_sq_ft_area,construction_status,price,appt_name,appt_link
bopal,3,1330,4699,Ready to move,6249670,Saanvi Nirman Stella,https://www.makaan.com/ahmedabad/saanvi-nirman-nirman-stella-in-bopal-1826025
bopal,3,2200,4318,Under Construction,9499600,United Serene Sparkles,https://www.makaan.com/ahmedabad/united-buildcon-ahmedabad-serene-sparkles-in-bopal-3234526
bopal,4,3300,3939,Under Construction,12998700,Abhijyot Abhijyot Harmony,https://www.makaan.com/ahmedabad/abhijyot-group-abhijyot-harmony-in-bopal-2018686
bopal,3,1700,3800,Under Construction,6460000,Kavisha Corporation Celebrations,https://www.makaan.com/ahmedabad/kavisha-corporation-celebrations-in-bopal-1283849
bopal,3,1750,3800,Under Construction,6650000,Shiv Aspire,https://www.makaan.com/ahmedabad/shiv-builders-ahmedabad-aspire-in-bopal-1865069
bopal,3,1785,5770,Ready to move,10299450,Sun South Winds,https://www.makaan.com/ahmedabad/sun-builders-south-winds-in-bopal-1822497
bopal,3,1450,5034,Ready to move,7299300,Saanvi Saanvi Nirman Spectra,https://www.makaan.com/ahmedabad/saanvi-nirman-saanvi-nirman-spectra-in-bopal-3023602
bopal,2,1350,4814,Ready to move,6498900,Sun Southrayz,https://www.makaan.com/ahmedabad/sun-constructions-ahmedabad-southrayz-in-bopal-2054308
bopal,3,1440,5902,Ready to move,8498880,United Serene Elegancy,https://www.makaan.com/ahmedabad/united-spacelink-serene-elegancy-in-bopal-3098111
bopal,3,1430,8181,Under Construction,11698830,Serenity Satyam,https://www.makaan.com/ahmedabad/serenity-group-satyam-in-bopal-3255207
bopal,2,1175,5106,Ready to move,5999550,Swarnim Swarnim Sun,https://www.makaan.com/ahmedabad/swarnim-group-ahmedabad-swarnim-sun-in-bopal-3204455
bopal,3,1750,5714,Ready to move,9999500,Abhijyot Abhijyot Harmony,https://www.makaan.com/ahmedabad/abhijyot-group-abhijyot-harmony-in-bopal-2018686
bopal,3,1760,4000,Under Construction,7040000,Binori Solitaire,https://www.makaan.com/ahmedabad/binori-infrastructure-solitaire-in-bopal-508053
bopal,3,1800,3800,Under Construction,6840000,Siddhi Aarohi Elysium,https://www.makaan.com/ahmedabad/siddhi-developers-aarohi-elysium-in-bopal-1397969
bopal,3,1750,5771,Ready to move,10099250,Siddhi Aarohi Crest,https://www.makaan.com/ahmedabad/siddhi-developers-aarohi-crest-in-bopal-645944
